Country Name,Country Code,Indicator Name,Indicator Code,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,6.125566156,1.500777106,7.427043103,-0.381464282,1.996212367,3.67125,2.05267452,-0.093045684,-0.897194054,-1.036023034
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,168.6202359,61.13493316,42.53754813,28.39783991,18.10824249,10.33887945,6.997129035,8.426752735,14.83787648,12.94565634,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,13.53448976
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,3.067439669,3.651417866,4.240266607,2.318082747,6.394430997,-1.104310444,-7.113767713,2.318082746,6.394431003,-1.104310449,0.917977379,1.602056156,1.300580745,0.509747769,1.201399645,-0.861584009
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,4.608229989,1.589653779,0.928258852,3.337274997,4.437380801,5.393231069,4.282396048,8.705609236,14.00681077,3.346454201,2.503276058,9.884464198,4.515602914,5.736400237,5.766600746,4.059610411
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636449622,5.40349914,6.204310666,6.329040155,9.029901024
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,2.435813035,2.577834904,0.125249458,1.619433198,1.394422311,6.082187295,7.307662628,4.034229829,8.108108108,3.643861893,5.824218533,9.432202402,4.533347539,1.81410436,1.769503221,-1.112789925
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1.558152476,0.595890411,-2.314972425,0.3,0.814223995,1.244437119,0.159888078,0.96777412,2.084980237,1.035717743,0.356869132,0.137911563,0.111766261,0.389205053,-0.207108732,-0.488347421
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,4.012120811,3.414789461,2.455357143,2.572308617,4.105936983,5.312631046,5.00045438,5.156111388,8.327160494,4.361122191,7.036383161,8.848985699,10.91965694,7.006666667,8.271060939,4.548143951
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,8.601485149,6.55903767,8.032796625,9.189902656,6.945703637,8.610225285,11.55521879,7.080998472,12.70218839,8.027297031,6.948876587,8.459872334,7.536902611,5.884607071,4.402253092,3.062031696
